Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,Hundred,Fifty,Zero,Fours,Sixes,Cluster
Bilawal Bhatti ,2013-2015,9,4,2,23,13,11.5,14,164.28,0,0,1,2,1,0
T Panyangara ,2013-2016,14,5,4,23,17,23,17,135.29,0,0,0,1,2,0
JNT Vare ,2015-2016,5,4,0,23,13,5.75,23,100,0,0,0,2,0,0
Zulqarnain Haider ,2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0,0
Abdur Rehman ,2007-2013,8,5,3,22,7,11,29,75.86,0,0,0,0,0,0
Ahmed Raza ,2014-2016,13,5,2,22,9,7.33,41,53.65,0,0,1,0,1,0
AB Dinda ,2009-2012,9,2,1,22,19,22,24,91.66,0,0,0,1,0,0
PJ Ingram ,2010-2010,3,3,1,22,20,11,35,62.85,0,0,1,3,0,0
WP Masakadza ,2015-2016,7,5,3,22,6,11,27,81.48,0,0,0,2,0,0
DP Nannes ,2009-2010,17,5,3,22,12,11,18,122.22,0,0,0,1,1,0
E Otieno ,2012-2013,10,5,1,22,8,5.5,43,51.16,0,0,0,0,1,0
TD Paine ,2009-2011,5,3,0,22,21,7.33,18,122.22,0,0,1,2,1,0
B Regmi ,2014-2015,11,9,3,22,11,3.66,52,42.3,0,0,1,2,0,0
FL Reifer ,2009-2009,1,1,0,22,22,22,20,110,0,0,0,2,1,0
L Siaka ,2015-2016,6,6,0,22,8,3.66,36,61.11,0,0,1,1,1,0
Umair Ali ,2015-2015,3,3,2,22,13,22,18,122.22,0,0,0,2,1,0
Anas Khan ,2014-2014,1,1,1,21,21,0,28,75,0,0,0,2,0,0
SE Bond ,2005-2010,20,8,3,21,8,4.2,21,100,0,0,2,2,0,0
MR Gillespie ,2006-2008,11,6,4,21,7,10.5,29,72.41,0,0,0,0,0,0
Kamran Shazad ,2014-2014,3,2,0,21,21,10.5,17,123.52,0,0,1,1,2,0
AF Milne ,2010-2016,18,7,7,21,10,0,23,91.3,0,0,0,1,0,0
Mohammad Sami ,2010-2016,13,4,3,21,8,21,30,70,0,0,0,2,0,0
Rony Talukdar ,2015-2015,1,1,0,21,21,21,22,95.45,0,0,0,0,1,0
Shoaib Akhtar ,2006-2010,15,6,3,21,8,7,16,131.25,0,0,1,2,1,0
SJS Smith ,2010-2012,5,4,1,21,9,7,40,52.5,0,0,1,1,0,0
RL Bhudia ,2007-2007,3,3,1,20,11,10,20,100,0,0,1,0,2,0
JL Denly ,2009-2010,5,5,0,20,14,4,29,68.96,0,0,2,2,0,0
DL Hemp ,2008-2008,2,2,0,20,20,10,32,62.5,0,0,1,2,1,0
MJ North ,2009-2009,1,1,0,20,20,20,21,95.23,0,0,0,1,0,0
S Sreesanth ,2006-2008,10,3,2,20,19,20,14,142.85,0,0,1,4,0,0
Fahad Tariq ,2016-2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1,0
HGJM Kulatunga ,2008-2008,2,2,0,19,11,9.5,38,50,0,0,0,0,0,0
CJ McKay ,2010-2013,6,4,2,19,7,9.5,22,86.36,0,0,1,1,1,0
Muktar Ali ,2016-2016,1,1,1,19,19,0,15,126.66,0,0,0,1,1,0
RLB Rambukwella ,2013-2016,2,1,0,19,19,19,16,118.75,0,0,0,1,1,0
SV Samson ,2015-2015,1,1,0,19,19,19,24,79.16,0,0,0,1,0,0
RW Chakabva ,2008-2015,5,5,0,18,13,3.6,40,45,0,0,2,1,0,0
DT Christian ,2010-2014,15,6,3,18,6,6,15,120,0,0,1,2,0,0
LHD Dilhara ,2008-2008,2,1,1,18,18,0,9,200,0,0,0,0,1,0
XJ Doherty ,2012-2013,11,4,3,18,9,18,17,105.88,0,0,0,1,0,0
Khurram Chohan ,2010-2010,4,4,2,18,8,9,14,128.57,0,0,0,1,1,0
SW Masakadza ,2010-2013,7,5,1,18,9,4.5,24,75,0,0,1,1,0,0
CT Mutombodzi ,2013-2016,5,5,1,18,12,4.5,24,75,0,0,1,1,0,0
Nauman Anwar ,2015-2015,1,1,0,18,18,18,10,180,0,0,0,2,1,0
Naved-ul-Hasan ,2006-2010,4,2,1,18,17,18,16,112.5,0,0,0,0,2,0
Raza Hasan ,2012-2014,10,4,4,18,13,0,25,72,0,0,0,2,0,0
Shafiul Islam ,2010-2013,11,4,1,18,16,6,24,75,0,0,1,1,1,0
S Thuraisingam ,2008-2008,3,2,1,18,15,18,24,75,0,0,0,1,0,0
JW Wilson ,2005-2005,1,1,0,18,18,18,14,128.57,0,0,0,2,0,0
TL Best ,2013-2014,6,1,1,17,17,0,9,188.88,0,0,0,0,2,0
TS Chisoro ,2015-2016,7,2,1,17,10,17,17,100,0,0,0,1,0,0
Imran Tahir ,2013-2016,27,2,2,17,9,0,11,154.54,0,0,0,1,1,0
LN Onyango ,2007-2010,5,4,2,17,5,8.5,21,80.95,0,0,0,0,0,0
Taskin Ahmed ,2014-2016,13,3,2,17,15,17,18,94.44,0,0,0,1,1,0
PVD Chameera ,2015-2016,13,7,6,16,9,16,20,80,0,0,1,1,0,0
CJ Ferguson ,2009-2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0,0
Mehrab Hossain jnr ,2008-2009,2,2,1,16,10,16,25,64,0,0,0,1,0,0
M Morkel ,2007-2015,39,5,3,16,8,8,13,123.07,0,0,0,2,1,0
BJ Rohrer ,2013-2013,1,1,0,16,16,16,14,114.28,0,0,0,0,1,0
EHSN Silva ,2014-2014,2,2,1,16,13,16,22,72.72,0,0,0,1,0,0
AB Agarkar ,2006-2007,4,2,0,15,14,7.5,11,136.36,0,0,0,2,0,0
NW Bracken ,2006-2009,19,6,3,15,4,5,22,68.18,0,0,1,1,0,0
BE Hendricks ,2014-2014,5,2,1,15,12,15,15,100,0,0,0,0,1,0
E Katchay ,2008-2008,4,3,2,15,8,15,25,60,0,0,1,0,0,0
B Kumar ,2012-2016,16,4,2,15,9,7.5,15,100,0,0,1,0,0,0
Mosaddek Hossain ,2016-2016,1,1,0,15,15,15,19,78.94,0,0,0,1,0,0
LA Pomersbach ,2007-2007,1,1,0,15,15,15,7,214.28,0,0,0,1,1,0
RW Price ,2008-2012,16,9,4,15,7,3,28,53.57,0,0,1,1,0,0
Shabir Noori ,2012-2012,1,1,0,15,15,15,18,83.33,0,0,0,1,0,0
J Smits ,2008-2009,6,2,1,15,11,15,27,55.55,0,0,0,0,0,0
DW Steyn ,2007-2016,42,9,4,15,5,3,20,75,0,0,1,1,0,0
AO Suji ,2007-2010,8,5,2,15,7,5,29,51.72,0,0,0,0,0,0
DT Tiripano ,2016-2016,8,4,2,15,11,7.5,22,68.18,0,0,1,0,1,0
MK Tiwary ,2011-2012,3,1,0,15,15,15,17,88.23,0,0,0,0,0,0
JDF Vandersay ,2015-2016,7,5,4,15,8,15,17,88.23,0,0,0,2,0,0
VB van Jaarsveld ,2009-2009,3,3,0,15,12,5,23,65.21,0,0,1,0,0,0
Abu Hider ,2016-2016,5,1,0,14,14,14,10,140,0,0,0,1,1,0
Ahsan Malik ,2012-2016,28,6,4,14,4,7,18,77.77,0,0,1,1,0,0
SG Borthwick ,2011-2011,1,1,0,14,14,14,16,87.5,0,0,0,2,0,0
ST Finn ,2011-2015,21,3,3,14,8,0,19,73.68,0,0,0,1,0,0
MC Henriques ,2009-2016,6,3,0,14,12,4.66,17,82.35,0,0,0,1,0,0
MJ McClenaghan ,2012-2016,28,7,4,14,6,4.66,15,93.33,0,0,2,1,1,0
JAH Marshall ,2005-2008,3,2,0,14,13,7,15,93.33,0,0,0,2,0,0
Najeeb Tarakai ,2014-2014,2,2,0,14,7,7,17,82.35,0,0,0,2,0,0
GH O'Brien ,2008-2008,3,3,1,14,7,7,16,87.5,0,0,1,0,1,0
AN Petersen ,2010-2010,2,2,0,14,8,7,19,73.68,0,0,0,1,0,0
VD Philander ,2007-2007,7,4,0,14,6,3.5,28,50,0,0,0,0,0,0
Saqlain Haider ,2016-2016,6,5,1,14,7,3.5,35,40,0,0,0,0,0,0
VS Wategaonkar ,2016-2016,2,1,0,14,14,14,14,100,0,0,0,1,0,0
CM Wright ,2007-2009,3,1,0,14,14,14,18,77.77,0,0,0,0,0,0
AR Adams ,2005-2006,4,2,1,13,7,13,12,108.33,0,0,0,1,0,0
Amir Hamza ,2013-2016,19,6,3,13,4,4.33,17,76.47,0,0,1,1,0,0
C de Grandhomme ,2012-2012,4,4,2,13,8,6.5,17,76.47,0,0,0,1,0,0
J Edness ,2008-2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0,0
CR Foggo ,2008-2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0,0
SP Gauchan ,2014-2015,9,5,2,13,6,4.33,43,30.23,0,0,2,0,0,0
PA Hitchcock ,2008-2008,1,1,0,13,13,13,11,118.18,0,0,0,1,1,0
SHT Kandamby ,2008-2011,5,4,0,13,10,3.25,21,61.9,0,0,1,0,0,0
SKW Kelly ,2008-2008,3,2,2,13,11,0,24,54.16,0,0,0,0,0,0
Z Khan ,2006-2012,17,4,2,13,9,6.5,10,130,0,0,0,0,1,0
Mohammad Nadeem ,2015-2015,2,2,0,13,7,6.5,12,108.33,0,0,0,1,0,0
Mohammad Rafique ,2006-2006,1,1,0,13,13,13,5,260,0,0,0,3,0,0
CB Mpofu ,2008-2015,20,5,3,13,6,6.5,12,108.33,0,0,2,0,1,0
CMW Read ,2006-2006,1,1,0,13,13,13,11,118.18,0,0,0,2,0,0
Sufyan Mehmood ,2015-2016,2,1,1,13,13,0,32,40.62,0,0,0,2,0,0
Usman Mushtaq ,2016-2016,3,2,1,13,9,13,24,54.16,0,0,0,1,0,0
J Anderson ,2015-2015,4,2,0,12,9,6,18,66.66,0,0,0,1,0,0
HMCM Bandara ,2006-2009,4,3,1,12,7,6,15,80,0,0,0,0,0,0
TA Boult ,2013-2016,11,4,0,12,5,3,22,54.54,0,0,1,0,0,0
HJH Marshall ,2005-2006,3,3,0,12,8,4,14,85.71,0,0,0,0,0,0
NV Ojha ,2010-2010,2,2,0,12,10,6,27,44.44,0,0,0,2,0,0
KOA Powell ,2014-2014,1,1,0,12,12,12,14,85.71,0,0,0,1,0,0
R Rampaul ,2007-2015,23,6,5,12,8,12,21,57.14,0,0,0,0,0,0
MA Starc ,2012-2016,22,6,2,12,4,3,18,66.66,0,0,0,0,0,0
Fayyaz Ahmed ,2015-2015,1,1,0,11,11,11,12,91.66,0,0,0,2,0,0
AJ Hall ,2006-2006,2,1,0,11,11,11,10,110,0,0,0,1,0,0
Inzamam-ul-Haq ,2006-2006,1,1,1,11,11,0,15,73.33,0,0,0,0,1,0
Khurram Manzoor ,2016-2016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0,0
KS Lokuarachchi ,2012-2012,2,2,0,11,11,5.5,13,84.61,0,0,1,1,0,0
WK McCallan ,2008-2009,9,3,2,11,9,11,15,73.33,0,0,1,1,0,0
AK Mandal ,2015-2015,2,2,0,11,9,5.5,25,44,0,0,0,0,0,0
AA Mulla ,2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0,0
V Shetty ,2014-2014,2,2,1,11,10,11,13,84.61,0,0,0,1,0,0
CA Soper ,2015-2016,3,2,2,11,8,0,21,52.38,0,0,0,0,0,0
SW Tait ,2007-2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1,0
RM West ,2009-2009,5,4,1,11,8,3.66,11,100,0,0,0,1,0,0
Yasir Shah ,2011-2011,2,1,1,11,11,0,7,157.14,0,0,0,1,0,0
CS Baugh ,2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0,0
FH Edwards ,2007-2012,20,4,2,10,7,5,9,111.11,0,0,1,1,0,0
MJ Henry ,2014-2016,5,2,1,10,10,10,5,200,0,0,0,2,0,0
S Jyoti ,2008-2008,2,2,1,10,10,10,20,50,0,0,1,0,0,0
RWT Key ,2009-2009,1,1,1,10,10,0,8,125,0,0,0,0,0,0
HG Kuhn ,2009-2011,5,4,2,10,5,5,16,62.5,0,0,0,0,0,0
M Ntini ,2005-2011,10,4,2,10,5,5,11,90.9,0,0,1,2,0,0
PP Ojha ,2009-2010,6,1,1,10,10,0,6,166.66,0,0,0,0,1,0
BA Parchment ,2007-2007,1,1,0,10,10,10,6,166.66,0,0,0,1,1,0
N Pokana ,2016-2016,3,2,1,10,8,10,17,58.82,0,0,0,0,0,0
P Raho ,2016-2016,2,2,2,10,8,0,6,166.66,0,0,0,0,1,0
ACL Richards ,2007-2007,1,1,0,10,10,10,15,66.66,0,0,0,1,0,0
MP Stoinis ,2015-2015,1,1,1,10,10,0,8,125,0,0,0,1,0,0
ZE Surkari ,2008-2008,4,3,0,10,6,3.33,33,30.3,0,0,1,0,0,0
SR Tendulkar ,2006-2006,1,1,0,10,10,10,12,83.33,0,0,0,2,0,0
RJ Trott ,2008-2008,3,3,1,10,8,5,24,41.66,0,0,1,0,0,0
Abul Hasan ,2012-2012,4,1,0,9,9,9,8,112.5,0,0,0,1,0,0
Afsar Zazai ,2013-2013,1,1,0,9,9,9,21,42.85,0,0,0,0,0,0
AC Agar ,2016-2016,2,1,0,9,9,9,8,112.5,0,0,0,0,1,0
JJ Celestine ,2008-2008,3,3,0,9,7,3,17,52.94,0,0,1,0,0,0
FRJ Coleman ,2013-2013,1,1,0,9,9,9,13,69.23,0,0,0,1,0,0
Elias Sunny ,2012-2012,7,4,2,9,5,4.5,9,100,0,0,0,1,0,0
KM Jarvis ,2011-2013,9,5,2,9,9,3,17,52.94,0,0,3,0,0,0
R McLaren ,2009-2014,12,4,3,9,6,9,13,69.23,0,0,0,0,0,0
Mohammad Asif ,2006-2010,11,3,3,9,5,0,3,300,0,0,0,2,0,0
AR Nurse ,2011-2015,4,2,1,9,6,9,8,112.5,0,0,0,1,0,0
JS Patel ,2005-2008,11,4,1,9,5,3,14,64.28,0,0,1,1,0,0
WKD Perkins ,2008-2008,1,1,0,9,9,9,11,81.81,0,0,0,1,0,0
JB Reva ,2015-2016,3,2,0,9,7,4.5,12,75,0,0,0,0,1,0
KW Richardson ,2014-2016,3,1,0,9,9,9,7,128.57,0,0,0,0,0,0
IH Romaine ,2008-2008,2,2,0,9,8,4.5,20,45,0,0,0,0,0,0
Sikander Zulfiqar ,2016-2016,2,1,1,9,9,0,12,75,0,0,0,0,0,0
TP Visee ,2015-2015,2,2,0,9,5,4.5,14,64.28,0,0,0,1,0,0
CAK Walton ,2014-2016,3,3,0,9,9,3,12,75,0,0,2,0,1,0
AM Blignaut ,2010-2010,1,1,0,8,8,8,8,100,0,0,0,1,0,0
GH Bodi ,2007-2007,1,1,0,8,8,8,25,32,0,0,0,0,0,0
TL Chatara ,2010-2016,11,1,0,8,8,8,7,114.28,0,0,0,1,0,0
AS Dean ,2008-2013,2,2,0,8,7,4,10,80,0,0,0,0,0,0
B Fernando ,2015-2015,2,1,1,8,8,0,12,66.66,0,0,0,1,0,0
HMRKB Herath ,2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0,0
S Randiv ,2010-2011,7,2,0,8,6,4,6,133.33,0,0,0,1,0,0
BAW Mendis ,2008-2014,39,8,5,8,4,2.66,17,47.05,0,0,0,1,0,0
Mustafizur Rahman ,2015-2016,13,5,1,8,6,2,11,72.72,0,0,2,0,1,0
SS Pathirana ,2016-2016,2,2,0,8,6,4,7,114.28,0,0,0,1,0,0
Rubel Hossain ,2009-2014,11,4,3,8,8,8,13,61.53,0,0,1,1,0,0
Shahadat Hossain ,2006-2013,6,5,3,8,4,4,12,66.66,0,0,1,0,0,0
I Sharma ,2008-2013,14,3,2,8,5,8,9,88.88,0,0,1,1,0,0
BV Vitori ,2012-2016,11,2,2,8,7,0,7,114.28,0,0,0,0,0,0
Al-Amin Hossain ,2013-2016,25,5,3,7,5,3.5,12,58.33,0,0,1,1,0,0
RP Arnold ,2006-2006,1,1,0,7,7,7,7,100,0,0,0,0,0,0
NB Budayair ,2014-2014,4,3,1,7,5,3.5,19,36.84,0,0,1,0,0,0
MA Carberry ,2014-2014,1,1,0,7,7,7,7,100,0,0,0,1,0,0
P Kumar ,2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0,0
ND McKenzie ,2006-2009,2,1,1,7,7,0,8,87.5,0,0,0,0,0,0
HM Nicholls ,2016-2016,1,1,0,7,7,7,11,63.63,0,0,0,1,0,0
Qadeer Ahmed ,2015-2016,8,4,3,7,5,7,12,58.33,0,0,1,1,0,0
GA Rogers ,2008-2009,2,2,2,7,6,0,8,87.5,0,0,0,0,0,0
E Schiferli ,2008-2010,7,3,1,7,5,3.5,16,43.75,0,0,1,0,0,0
JN Snape ,2007-2007,1,1,0,7,7,7,11,63.63,0,0,0,0,0,0
Syed Rasel ,2007-2008,8,3,1,7,6,3.5,9,77.77,0,0,0,1,0,0
LV van Beek ,2014-2016,8,4,1,7,4,2.33,15,46.66,0,0,0,0,0,0
A Zampa ,2016-2016,8,2,2,7,5,0,6,116.66,0,0,0,0,0,0
D Bishoo ,2011-2015,5,2,1,6,6,6,6,100,0,0,1,1,0,0
DG Brownlie ,2010-2014,5,5,0,6,5,1.2,18,33.33,0,0,3,1,0,0
RMS Eranga ,2012-2013,3,1,0,6,6,6,7,85.71,0,0,0,1,0,0
NM Hauritz ,2009-2009,3,2,0,6,4,3,10,60,0,0,0,1,0,0
PJ Hughes ,2014-2014,1,1,0,6,6,6,8,75,0,0,0,1,0,0
Javed Ahmadi ,2012-2012,2,1,0,6,6,6,5,120,0,0,0,1,0,0
KO Meth ,2012-2012,2,1,1,6,6,0,6,100,0,0,0,0,0,0
AM Phangiso ,2012-2016,11,2,0,6,4,3,10,60,0,0,0,0,0,0
JA Rudolph ,2006-2006,1,1,1,6,6,0,7,85.71,0,0,0,0,0,0
R Strydom ,2008-2008,4,2,1,6,5,6,7,85.71,0,0,0,0,0,0
SA Abbott ,2014-2014,3,1,0,5,5,5,8,62.5,0,0,0,1,0,0
M Ansari ,2015-2016,11,4,4,5,3,0,10,50,0,0,0,0,0,0
MS Atapattu ,2006-2006,2,1,0,5,5,5,8,62.5,0,0,0,0,0,0
IG Butler ,2009-2013,19,6,5,5,2,5,10,50,0,0,0,0,0,0
N Dickwella ,2016-2016,3,2,0,5,4,2.5,5,100,0,0,0,1,0,0
Karan KC ,2015-2015,5,4,2,5,2,2.5,16,31.25,0,0,1,0,0,0
GD McGrath ,2005-2005,2,1,0,5,5,5,12,41.66,0,0,0,0,0,0
CS Martin ,2007-2008,6,1,1,5,5,0,6,83.33,0,0,0,0,0,0
Mohammad Salman ,2011-2011,1,1,0,5,5,5,6,83.33,0,0,0,0,0,0
T Mupariwa ,2007-2008,4,2,2,5,3,0,3,166.66,0,0,0,0,0,0
N M'shangwe ,2013-2014,5,2,1,5,5,5,4,125,0,0,1,1,0,0
JL Pattinson ,2011-2012,4,2,2,5,5,0,3,166.66,0,0,0,1,0,0
LE Plunkett ,2006-2016,9,3,1,5,4,2.5,6,83.33,0,0,0,0,0,0
GH Bodi ,2007-2007,1,1,0,8,8,8,25,32,0,0,0,0,0,0
TL Chatara ,2010-2016,11,1,0,8,8,8,7,114.28,0,0,0,1,0,0
AS Dean ,2008-2013,2,2,0,8,7,4,10,80,0,0,0,0,0,0
B Fernando ,2015-2015,2,1,1,8,8,0,12,66.66,0,0,0,1,0,0
HMRKB Herath ,2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0,0
S Randiv ,2010-2011,7,2,0,8,6,4,6,133.33,0,0,0,1,0,0
BAW Mendis ,2008-2014,39,8,5,8,4,2.66,17,47.05,0,0,0,1,0,0
Mustafizur Rahman ,2015-2016,13,5,1,8,6,2,11,72.72,0,0,2,0,1,0
